,Date_time,Compound,Negative,Neutral,News_outlet,Positive,Tweet,Tweet_number
517,2018-04-09 18:06:04+00:00,0.0,0.0,1.0,Washington Post,0.0,"""We need to govern in a different way"": Kentucky’s GOP governor vetoes tax plan https://t.co/3NF0Mp2SBZ",18
518,2018-04-09 18:02:42+00:00,-0.8402,0.562,0.438,Washington Post,0.0,Opinion: A debt crisis is coming. But don’t blame entitlements. https://t.co/sqn1vKUEhs,19
519,2018-04-09 17:50:07+00:00,0.6249,0.0,0.683,Washington Post,0.317,"With $2 million, Kaiser Permanente wants to help revive underfunded gun-violence research https://t.co/1wT24HOgoM",20
520,2018-04-09 17:49:03+00:00,0.2023,0.174,0.62,Washington Post,0.207,Pope Francis’s new major document: Caring for migrants and the poor is just as important as preventing abortion https://t.co/jnmjkLf7YX,21
521,2018-04-09 17:47:22+00:00,0.2023,0.0,0.859,Washington Post,0.141,"Top government ethics official demands EPA investigate Pruitt’s spending, housing controversies https://t.co/oU5CO8gVQc",22
522,2018-04-09 17:41:43+00:00,0.3773,0.068,0.777,Washington Post,0.155,"Trump ""did not want sprinkler protections"" in his Fifth Avenue high-rise, former safety official says https://t.co/JdEMp0HFIE",23
523,2018-04-09 17:33:03+00:00,0.4767,0.0,0.78,Washington Post,0.22,"Opinion: The ""horror"" of President Trump’s dependence on ""Fox &amp; Friends"" https://t.co/c9nPsIVnBQ",24
524,2018-04-09 17:23:34+00:00,0.0,0.0,1.0,Washington Post,0.0,Analysis: Trump’s unprecedented scolding of Vladimir Putin https://t.co/9FbwplI8pA,25
525,2018-04-09 17:13:59+00:00,0.0,0.0,1.0,Washington Post,0.0,Opinion: A journalist’s family says the Assad regime assassinated her. Here’s the evidence. https://t.co/zmshkENhz3,26
526,2018-04-09 17:08:50+00:00,-0.5106,0.276,0.544,Washington Post,0.18,"""Solo: A Star Wars Story"" trailer tries to reassure us that the troubled movie turned out okay https://t.co/Y5WEdGDw6K",27
527,2018-04-09 17:02:20+00:00,0.0,0.0,1.0,Washington Post,0.0,"Analysis: Why you should take that ""news deserts led to Trump"" story with a grain of salt https://t.co/uX8GztjUjh",28
528,2018-04-09 16:53:12+00:00,-0.7351,0.341,0.659,Washington Post,0.0,Men account for nearly 1 in 5 complaints of workplace sexual harassment with the EEOC https://t.co/DDJrM5Wb4n,29
529,2018-04-09 16:44:23+00:00,-0.3182,0.198,0.661,Washington Post,0.141,"He killed his mother and friend, then confessed on Facebook while on the run, police say https://t.co/8H34kXxJJw",30
530,2018-04-09 16:35:13+00:00,0.0,0.0,1.0,Washington Post,0.0,"The SEC is blunting investor activism over climate, K-Cups and gay rights https://t.co/1VBVfeIwjv",31
531,2018-04-09 16:33:45+00:00,-0.34,0.138,0.862,Washington Post,0.0,"Facebook Chief Executive Mark Zuckerberg to Capitol Hill: ""It was my mistake, and I’m sorry."" https://t.co/bEgD4wd2Gq",32
532,2018-04-09 16:25:54+00:00,0.0,0.0,1.0,Washington Post,0.0,Why Apple co-founder Steve Wozniak is joining the #DeleteFacebook movement https://t.co/8Oe0aBR1kM,33
533,2018-04-09 16:16:00+00:00,0.2263,0.102,0.749,Washington Post,0.15,"""I really wanted that student to feel censored"": A poetry class confronts slurs, and finds grace https://t.co/94klXFq532",34
534,2018-04-09 16:11:00+00:00,-0.3182,0.159,0.746,Washington Post,0.095,Mark Zuckerberg expresses contrition for Facebook scandals in prepared remarks ahead of his testimony before Congre… https://t.co/20JP7tN8VW,35
535,2018-04-09 16:08:17+00:00,-0.4767,0.14,0.86,Washington Post,0.0,Trump says his administration will make decision on response to apparent chemical attack in Syria within the next 4… https://t.co/k7lbWScPC6,36
536,2018-04-09 16:06:05+00:00,-0.3182,0.126,0.874,Washington Post,0.0,"Dennis Kucinich was mocked in his presidential bids.

Turns out he was the future of politics. https://t.co/IhhVaW976T",37
537,2018-04-09 16:00:16+00:00,0.0,0.0,1.0,Washington Post,0.0,"North Korea’s definition of ""denuclearization"" is very different from Trump’s https://t.co/TL1cbIE2CF",38
538,2018-04-09 15:52:36+00:00,-0.34,0.194,0.806,Washington Post,0.0,Conor McGregor finally responds to his arrest — with a cryptic emoji https://t.co/LMIt4BU0G7,39
539,2018-04-09 15:44:33+00:00,-0.2732,0.152,0.76,Washington Post,0.088,Analysis: Why Cleveland is on the front lines of legal battle against opioid makers https://t.co/yylMnIKih2,40
540,2018-04-09 15:37:19+00:00,0.0,0.0,1.0,Washington Post,0.0,Perspective: How do you get university administrators to listen? Take over their buildings. https://t.co/8bRnKFt5Ic,41
541,2018-04-09 15:32:05+00:00,0.0,0.0,1.0,Washington Post,0.0,"As Zuckerberg heads to Capitol Hill, a call to replace him as Facebook’s chairman https://t.co/OhScqk6kP8",42
542,2018-04-09 15:24:12+00:00,-0.765,0.485,0.515,Washington Post,0.0,Opinion: Trump’s politics of outrage is failing him https://t.co/mQCCQLXWPi,43
543,2018-04-09 15:11:58+00:00,0.0,0.0,1.0,Washington Post,0.0,"""Progressing"" Tiger Woods to take his usual post-Masters break https://t.co/hsUN6eZLSj",44
